Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,K0USA,146.940000,-,0.600000,Tone,131.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
1,Simplex,146.520000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
2,W0WYV,147.390000,+,0.600000,Tone,131.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
3,K0BOY,145.450000,-,0.600000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
4,BARC SP,146.460000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
5,N0YMJ,145.370000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
6,KW1RKY,442.325000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
7,WB0YLA,442.500000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
8,KG0S,443.925000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
9,WB0WXS,444.050000,+,5.000000,Cross,88.5,127.3,023,NN,023,->Tone,FM,5.00,,4.0W,,,,,
10,K0OQL,444.425000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
11,WX,162.400000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
12,K0BVC,444.925000,+,5.000000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
172,NOAA1,162.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
173,NOAA2,162.400000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
174,NOAA3,162.475000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
175,NOAA4,162.425000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
176,NOAA5,162.450000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
177,NOAA6,162.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
178,NOAA7,162.525000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
179,NOAA8,161.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
180,NOAA9,161.775000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
181,NOAA10,161.750000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
182,NOAA11,162.000000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
